date,daily_return,"ln_RV_d,t","ln_RV_w,t","ln_RV_m,t","RV_d,t","RV_w,t","RV_m,t",high,volume,UEMP15T26,UEMP27OV,PERMITW,TB3SMFFM,Fear_Greed_Value,target,Filtered_State,Regime,Regime_Prob
2021-09-20,-0.0892059527085671,-5.794761676239671,-6.967430744188187,-6.816896538278979,0.0030434556680646,0.0009420702185431,0.001095114299256,47327.0,12626.55362415,979,2742,392.0,-0.04,50.0,-5.380819835365533,1,Low Volatility,0.9999051163319704
2021-09-21,-0.0529236626675189,-5.380819835365533,-6.524840940528184,-6.69932081391055,0.0046040458227211,0.0014665523975418,0.0012317482048853,43625.0,14959.93126697,979,2742,392.0,-0.04,27.0,-6.350463281119475,1,Low Volatility,0.999689810308292
2021-09-22,0.0693541621943838,-6.350463281119475,-6.406829363065699,-6.667737316473209,0.001745938088715,0.0016502485549257,0.0012712719853507,44000.0,8433.81929627,979,2742,392.0,-0.04,21.0,-6.926060276215766,1,Low Volatility,0.9998643873008093
2021-09-23,0.0300794788947535,-6.926060276215766,-6.380440360417518,-6.660921091548039,0.0009818615216377,0.001694376655903,0.0012799668605922,45000.0,5286.6158969,979,2742,392.0,-0.04,27.0,-5.962216723763257,1,Low Volatility,0.9998726930186294
2021-09-24,-0.0451976725270983,-5.962216723763257,-6.225817901101314,-6.614222548210318,0.0025741993538391,0.0019777055860907,0.001341157075798,45164.4867643,11762.58236356,979,2742,392.0,-0.04,33.0,-6.796292413103341,1,Low Volatility,0.999687722907485
2021-09-25,-0.0033134216912451,-6.796292413103341,-6.176704686919478,-6.6130643517539,0.0011179122305464,0.0020772618164696,0.0013427112990448,42986.84667145,2960.4559682,979,2742,392.0,-0.04,28.0,-6.425590719707139,1,Low Volatility,0.9997745335968763
2021-09-26,0.0111438872500819,-6.425590719707139,-6.100833787599758,-6.593877879228813,0.0016195762796726,0.0022409984235995,0.0013687219206153,43963.0,5524.9976253,979,2742,392.0,-0.04,27.0,-6.716187357688956,1,Low Volatility,0.9998294077028422
2021-09-27,-0.0233618893262329,-6.716187357688956,-6.22504231818379,-6.571891728828872,0.0012111470930231,0.0019792400557364,0.0013991480982417,44355.99143738,4264.38573918,979,2742,392.0,-0.04,26.0,-6.555373789653975,1,Low Volatility,0.9998476245734091
2021-09-28,-0.0264811170906332,-6.555373789653975,-6.485940216380523,-6.552259774867862,0.0014224510701272,0.0015247265196516,0.0014268875077733,42777.0,6163.37815862,979,2742,392.0,-0.04,25.0,-6.9197911162135295,1,Low Volatility,0.9998948034392001
2021-09-29,0.0113481394895771,-6.9197911162135295,-6.559598123364357,-6.543973570280111,0.0009880363037418,0.001416454836084,0.0014387601110641,42606.0,4388.87768673,979,2742,392.0,-0.04,24.0,-6.672937945972379,1,Low Volatility,0.9998930742366353
2021-09-30,0.0553816518179628,-6.672937945972379,-6.5314737991574106,-6.529749371954186,0.0012646777327571,0.0014568571519582,0.0014593715633989,44122.0,5077.91198722,979,2742,392.0,-0.04,20.0,-6.184548516841965,1,Low Volatility,0.9998931630502133
2021-10-01,0.0985854437599818,-6.184548516841965,-6.583104418508849,-6.497591077519856,0.0020610318637841,0.0013835475105218,0.0015070652271111,48464.0,8320.29323947,969,2383,454.0,-0.03,27.0,-7.454782935395292,1,Low Volatility,0.9999096195606572
2021-10-02,-0.0104255363336172,-7.454782935395292,-6.640393894818852,-6.49828083064842,0.000578667254602,0.0013065125139583,0.0015060260825736,48350.0,2064.33021643,969,2383,454.0,-0.03,54.0,-7.2884853373330225,1,Low Volatility,0.9998706996593026
2021-10-03,0.0124451719868203,-7.2884853373330225,-6.748388798504748,-6.503830983740369,0.0006833623326793,0.0011727676643878,0.0014976905603644,49196.0,3603.97473091,969,2383,454.0,-0.03,49.0,-6.625100842727964,1,Low Volatility,0.9999010652785804
2021-10-04,0.0209361137597943,-6.625100842727964,-6.734417623601459,-6.484713925607926,0.0013266466416148,0.0011892675999009,0.0015265974246157,49503.0,6189.79094668,969,2383,454.0,-0.03,54.0,-7.054350762548045,1,Low Volatility,0.9999172150372733
2021-10-05,0.0458052464874523,-7.054350762548045,-6.803901776233106,-6.476570178822798,0.000863643264659,0.0011094379134054,0.0015390804076211,51922.0,6679.6934632,969,2383,454.0,-0.03,59.0,-5.924314990575413,1,Low Volatility,0.9999139648939923
2021-10-06,0.0742991379979809,-5.924314990575413,-6.607474234826132,-6.428285284141734,0.0026736385256443,0.0013502382308201,0.0016152181013634,55743.0,10522.17131951,969,2383,454.0,-0.03,68.0,-6.719476078175827,1,Low Volatility,0.99990302470301
2021-10-07,-0.0277937452357459,-6.719476078175827,-6.6135771664601775,-6.579995651668481,0.0012071705112827,0.0013420229134666,0.0013878553296778,55349.0,4945.29208426,969,2383,454.0,-0.03,76.0,-7.030171158213755,1,Low Volatility,0.9999038870353668
2021-10-08,0.0027876424396986,-7.030171158213755,-6.7473496478425465,-6.606380609362144,0.0008847803302143,0.0011739869800995,0.0013517156934799,56000.0,5483.0900781,969,2383,454.0,-0.03,74.0,-7.61588804456883,1,Low Volatility,0.9999233888418801
2021-10-09,0.0189259829091514,-7.61588804456883,-6.757882551727469,-6.6219836581299365,0.0004925630700338,0.001161686382304,0.0013307884962019,55475.0,2441.95849435,969,2383,454.0,-0.03,72.0,-6.924546996749682,1,Low Volatility,0.9999130829413955
